time_iso8601,forks_cumulative
2020-08-04 00:00:00+00:00,1
2020-08-25 00:00:00+00:00,2
2020-08-28 00:00:00+00:00,3
2020-08-29 00:00:00+00:00,4
2020-09-10 00:00:00+00:00,5
2020-09-25 00:00:00+00:00,6
2020-09-29 00:00:00+00:00,8
2020-09-30 00:00:00+00:00,9
2020-10-06 00:00:00+00:00,10
2020-10-09 00:00:00+00:00,11
2020-12-02 00:00:00+00:00,12
2020-12-15 00:00:00+00:00,13
2020-12-16 00:00:00+00:00,15
2020-12-17 00:00:00+00:00,17
2020-12-18 00:00:00+00:00,20
2020-12-19 00:00:00+00:00,28
2020-12-20 00:00:00+00:00,33
2020-12-21 00:00:00+00:00,34
2020-12-22 00:00:00+00:00,37
2020-12-24 00:00:00+00:00,41
2020-12-25 00:00:00+00:00,42
2020-12-26 00:00:00+00:00,44
2020-12-28 00:00:00+00:00,45
2021-01-06 00:00:00+00:00,46
2021-01-07 00:00:00+00:00,49
2021-01-08 00:00:00+00:00,50
2021-02-06 00:00:00+00:00,51
2021-02-18 00:00:00+00:00,52
2021-02-24 00:00:00+00:00,53
2021-02-28 00:00:00+00:00,54
2021-03-03 00:00:00+00:00,55
2021-03-05 00:00:00+00:00,56
2021-03-25 00:00:00+00:00,57
2021-04-14 00:00:00+00:00,58
2021-04-17 00:00:00+00:00,59
2021-04-22 00:00:00+00:00,60
2021-04-23 00:00:00+00:00,61
2021-04-24 00:00:00+00:00,62
2021-04-25 00:00:00+00:00,63
2021-04-26 00:00:00+00:00,65
2021-04-30 00:00:00+00:00,66
2021-05-03 00:00:00+00:00,67
2021-05-04 00:00:00+00:00,68
2021-05-08 00:00:00+00:00,69
2021-05-12 00:00:00+00:00,70
2021-05-29 00:00:00+00:00,71
2021-06-04 00:00:00+00:00,72
2021-06-08 00:00:00+00:00,73
2021-06-14 00:00:00+00:00,74
2021-06-17 00:00:00+00:00,75
2021-06-27 00:00:00+00:00,76
2021-07-11 00:00:00+00:00,77
2021-07-17 00:00:00+00:00,78
2021-07-19 00:00:00+00:00,79
2021-07-22 00:00:00+00:00,80
2021-08-03 00:00:00+00:00,82
2021-08-09 00:00:00+00:00,83
2021-08-12 00:00:00+00:00,84
2021-08-13 00:00:00+00:00,85
2021-08-14 00:00:00+00:00,86
2021-08-19 00:00:00+00:00,87
2021-08-24 00:00:00+00:00,88
2021-09-07 00:00:00+00:00,89
2021-09-13 00:00:00+00:00,90
