time_iso8601,stars_cumulative
2020-01-30 00:00:00+00:00,1
2020-02-29 00:00:00+00:00,2
2020-03-07 00:00:00+00:00,7
2020-03-09 00:00:00+00:00,8
2020-03-11 00:00:00+00:00,9
2020-03-12 00:00:00+00:00,10
2020-03-16 00:00:00+00:00,11
2020-03-25 00:00:00+00:00,12
2020-03-26 00:00:00+00:00,17
2020-03-27 00:00:00+00:00,18
2020-03-29 00:00:00+00:00,19
2020-04-09 00:00:00+00:00,24
2020-04-10 00:00:00+00:00,25
2020-04-14 00:00:00+00:00,26
2020-04-16 00:00:00+00:00,27
2020-04-20 00:00:00+00:00,28
2020-04-24 00:00:00+00:00,29
2020-04-26 00:00:00+00:00,30
2020-05-02 00:00:00+00:00,31
2020-05-04 00:00:00+00:00,33
2020-05-05 00:00:00+00:00,34
2020-05-12 00:00:00+00:00,35
2020-05-13 00:00:00+00:00,36
2020-05-17 00:00:00+00:00,39
2020-05-21 00:00:00+00:00,40
2020-05-29 00:00:00+00:00,41
2020-06-05 00:00:00+00:00,42
2020-06-09 00:00:00+00:00,43
2020-06-22 00:00:00+00:00,44
2020-06-30 00:00:00+00:00,45
2020-07-01 00:00:00+00:00,47
2020-07-03 00:00:00+00:00,49
2020-07-16 00:00:00+00:00,51
2020-07-30 00:00:00+00:00,56
2020-08-03 00:00:00+00:00,57
2020-08-04 00:00:00+00:00,58
2020-08-27 00:00:00+00:00,59
2020-08-28 00:00:00+00:00,60
2020-08-29 00:00:00+00:00,62
2020-08-31 00:00:00+00:00,64
2020-09-02 00:00:00+00:00,65
2020-09-03 00:00:00+00:00,67
2020-09-05 00:00:00+00:00,68
2020-09-07 00:00:00+00:00,69
2020-09-08 00:00:00+00:00,71
2020-09-09 00:00:00+00:00,75
2020-09-10 00:00:00+00:00,76
2020-09-11 00:00:00+00:00,77
2020-09-12 00:00:00+00:00,78
2020-09-13 00:00:00+00:00,79
2020-09-14 00:00:00+00:00,82
2020-09-15 00:00:00+00:00,84
2020-09-16 00:00:00+00:00,85
2020-09-19 00:00:00+00:00,86
2020-09-21 00:00:00+00:00,87
2020-09-22 00:00:00+00:00,98
2020-09-23 00:00:00+00:00,101
2020-09-24 00:00:00+00:00,102
2020-09-25 00:00:00+00:00,104
2020-09-26 00:00:00+00:00,106
2020-09-27 00:00:00+00:00,108
2020-09-29 00:00:00+00:00,112
2020-10-01 00:00:00+00:00,113
2020-10-02 00:00:00+00:00,115
2020-10-03 00:00:00+00:00,117
2020-10-04 00:00:00+00:00,118
2020-10-05 00:00:00+00:00,119
2020-10-06 00:00:00+00:00,123
2020-10-07 00:00:00+00:00,124
2020-10-08 00:00:00+00:00,126
2020-10-09 00:00:00+00:00,127
2020-10-11 00:00:00+00:00,129
