time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-08-31 00:00:00+00:00,1,1,22,14
2021-09-01 00:00:00+00:00,5,2,79,29
2021-09-02 00:00:00+00:00,11,4,87,36
2021-09-03 00:00:00+00:00,2,2,72,25
2021-09-04 00:00:00+00:00,2,2,56,20
2021-09-05 00:00:00+00:00,1,1,32,16
2021-09-06 00:00:00+00:00,5,5,83,30
2021-09-07 00:00:00+00:00,8,3,96,34
2021-09-08 00:00:00+00:00,18,5,119,27
2021-09-09 00:00:00+00:00,5,4,98,21
2021-09-10 00:00:00+00:00,10,8,106,41
2021-09-11 00:00:00+00:00,18,7,73,18
2021-09-12 00:00:00+00:00,4,4,45,15
2021-09-13 00:00:00+00:00,9,4,121,38
2021-09-14 00:00:00+00:00,3,3,78,22
